job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00030,ml ops engineer,82083,USD,MI,CT,Israel,L,Israel,100,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,retail,2024-01-18,2024-02-25,1212,6.3,Future Systems
AI00031,head of ai,67488,EUR,EN,FT,Netherlands,M,Netherlands,100,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,retail,2024-05-16,2024-07-26,887,6.0,Advanced Robotics
AI00032,research scientist,68624,USD,EN,FT,Denmark,M,Denmark,0,"Azure, Python, Spark",Master,1,real estate,2024-01-31,2024-03-08,1910,9.2,Cloud Ai Solutions
AI00033,robotics engineer,146852,USD,SE,FT,Switzerland,S,Switzerland,50,"NLP, Scala, Python",PhD,7,real estate,2024-08-28,2024-09-20,684,5.3,Cognitive Computing
AI00034,ml ops engineer,178183,USD,EX,FL,Finland,M,Finland,0,"Tableau, Azure, GCP, Linux, Python",Associate,16,education,2024-03-01,2024-03-19,1850,5.7,Predictive Systems
AI00035,deep learning engineer,150864,USD,SE,FL,Sweden,L,Singapore,0,"R, GCP, MLOps, Linux",PhD,8,consulting,2024-10-26,2024-12-25,1504,7.9,Smart Analytics
AI00036,head of ai,126942,USD,EX,CT,Finland,L,Netherlands,0,"Git, Hadoop, Data Visualization",Associate,10,finance,2024-01-31,2024-02-26,1261,9.9,Autonomous Tech
AI00037,ai architect,53752,USD,MI,PT,Japan,M,Japan,100,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,telecommunications,2024-10-17,2024-11-12,998,6.1,Techcorp Inc
AI00038,robotics engineer,111381,USD,EX,CT,Israel,S,Israel,0,"Linux, PyTorch, SQL, Statistics",Master,18,government,2024-01-14,2024-03-12,1030,8.1,Autonomous Tech
AI00039,ai specialist,41430,USD,EN,PT,China,M,China,50,"Tableau, Docker, GCP",Bachelor,1,healthcare,2024-06-15,2024-07-29,2323,8.0,Future Systems
AI00040,data engineer,166080,EUR,EX,FL,Netherlands,L,Netherlands,100,"Computer Vision, Azure, Tableau",Associate,15,government,2024-03-01,2024-05-01,831,5.1,Deeptech Ventures
AI00041,data scientist,96956,USD,MI,FT,United States,M,China,0,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,telecommunications,2024-02-24,2024-03-09,761,5.3,Datavision Ltd
AI00042,ai architect,196954,USD,SE,FL,United States,L,United States,50,"Java, Mathematics, SQL",Bachelor,8,finance,2025-03-17,2025-04-16,2290,7.5,Datavision Ltd
AI00043,ai specialist,56745,USD,EN,PT,Finland,L,Finland,100,"Spark, Mathematics, GCP",Associate,1,telecommunications,2025-02-01,2025-04-11,502,5.5,Quantum Computing Inc
AI00044,machine learning researcher,113455,USD,SE,FT,Singapore,M,Singapore,50,"Hadoop, Docker, Python, Azure",Associate,8,retail,2024-04-24,2024-06-12,1281,8.0,Ai Innovations
AI00045,ml ops engineer,158808,EUR,SE,PT,Netherlands,M,Netherlands,50,"Docker, R, Linux",Bachelor,5,media,2025-03-03,2025-05-03,1926,7.4,Future Systems
AI00046,ai research scientist,174663,USD,SE,CT,United States,M,Singapore,50,"Data Visualization, Statistics, R",Associate,7,media,2024-01-10,2024-03-22,1151,5.4,Deeptech Ventures
AI00047,ai research scientist,46753,USD,EN,CT,India,S,India,50,"Scala, Java, Tableau",PhD,1,manufacturing,2024-11-16,2024-12-18,2012,9.7,Quantum Computing Inc
AI00048,ai software engineer,69020,USD,MI,FL,China,L,China,0,"Java, Azure, GCP",Bachelor,4,energy,2024-09-05,2024-10-25,1584,8.8,Techcorp Inc
AI00049,ai specialist,288815,USD,EX,PT,Switzerland,S,Switzerland,0,"Deep Learning, Git, Data Visualization, Linux, Java",Bachelor,12,manufacturing,2024-08-08,2024-09-23,1930,7.2,Cognitive Computing
AI00050,ai consultant,124871,USD,EX,FL,Austria,M,Finland,50,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,media,2025-03-10,2025-05-17,1556,8.0,Autonomous Tech
AI00051,ai architect,70391,EUR,MI,FT,Germany,S,Germany,0,"Deep Learning, SQL, Mathematics",PhD,4,government,2024-08-16,2024-10-19,1974,9.2,Techcorp Inc
AI00052,research scientist,115376,USD,EX,FT,India,M,India,100,"Linux, R, Azure, Mathematics, Git",Master,17,technology,2024-03-12,2024-04-14,2028,5.5,Autonomous Tech
AI00053,research scientist,106579,USD,MI,PT,United States,S,United States,100,"Docker, Tableau, Mathematics",Associate,3,gaming,2024-02-24,2024-05-02,2028,5.4,Cognitive Computing
AI00054,data scientist,135230,USD,SE,PT,Norway,S,Norway,100,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,consulting,2024-07-07,2024-09-09,1219,7.5,Datavision Ltd
AI00055,research scientist,67607,USD,MI,PT,Israel,S,Israel,50,"Python, Tableau, TensorFlow, AWS",Master,4,media,2024-08-05,2024-08-26,1714,8.6,Quantum Computing Inc
AI00056,ai architect,88470,USD,MI,PT,Canada,L,Canada,0,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,real estate,2024-07-29,2024-09-27,1528,9.1,Autonomous Tech
AI00057,autonomous systems engineer,79863,USD,MI,FL,India,L,India,100,"Python, Docker, GCP, Scala",Associate,4,automotive,2024-09-28,2024-10-26,1325,5.6,Autonomous Tech
AI00058,machine learning engineer,60299,USD,EN,PT,Israel,L,Israel,100,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,finance,2025-03-22,2025-05-01,1872,6.6,Advanced Robotics
AI00059,machine learning engineer,85645,EUR,MI,FT,Germany,M,Germany,0,"PyTorch, Computer Vision, R",Associate,4,transportation,2024-02-09,2024-03-06,793,7.9,Ai Innovations
AI00060,ai software engineer,110222,GBP,SE,FL,United Kingdom,S,France,0,"R, Spark, AWS",Associate,8,media,2024-03-20,2024-05-05,1945,9.0,Techcorp Inc
AI00061,data scientist,49365,USD,EN,FT,China,M,China,0,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,finance,2024-06-22,2024-08-14,1907,10.0,Predictive Systems
AI00062,data scientist,162296,USD,SE,PT,Norway,S,Norway,50,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,finance,2024-06-05,2024-07-01,1714,6.2,Neural Networks Co
AI00063,ai consultant,102382,USD,MI,PT,Switzerland,M,Switzerland,0,"TensorFlow, Scala, Docker, Statistics",PhD,3,education,2024-03-23,2024-06-03,2199,5.8,Smart Analytics
AI00064,ai software engineer,99972,USD,MI,PT,Australia,M,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,technology,2024-02-20,2024-03-15,799,6.5,Cloud Ai Solutions
AI00065,data engineer,64129,USD,EN,CT,South Korea,L,South Korea,0,"Java, Git, Deep Learning",Bachelor,0,manufacturing,2024-12-15,2025-02-11,909,7.1,Machine Intelligence Group
AI00066,ai specialist,87938,USD,SE,FT,Ireland,S,Ireland,100,"Mathematics, Spark, Python, AWS",PhD,8,education,2024-12-15,2025-02-12,508,8.1,Machine Intelligence Group
AI00067,autonomous systems engineer,71405,USD,MI,FL,Israel,L,Israel,0,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,retail,2024-09-01,2024-10-29,1153,9.5,Advanced Robotics
AI00068,machine learning engineer,316182,USD,EX,PT,Denmark,M,Canada,0,"Python, Scala, Statistics, Git",Associate,12,finance,2025-02-09,2025-02-23,2452,7.0,Digital Transformation Llc
AI00069,machine learning researcher,72459,EUR,EN,PT,Germany,M,Germany,100,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,gaming,2024-08-30,2024-09-15,583,9.6,Quantum Computing Inc
AI00070,principal data scientist,78338,EUR,MI,FT,France,L,France,100,"MLOps, Kubernetes, Git, Python",Associate,3,technology,2024-10-31,2024-12-15,548,8.7,Cognitive Computing
AI00071,nlp engineer,51907,USD,MI,FL,Israel,M,Singapore,100,"AWS, Kubernetes, Azure",Bachelor,4,healthcare,2024-02-14,2024-04-02,912,8.2,Neural Networks Co
AI00072,autonomous systems engineer,122831,EUR,SE,FL,France,S,France,100,"PyTorch, Kubernetes, Git, SQL",Master,7,real estate,2024-05-31,2024-06-19,761,8.4,Algorithmic Solutions
AI00073,machine learning researcher,124820,USD,MI,FL,Norway,S,Norway,50,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,real estate,2024-08-02,2024-10-01,2077,9.9,Cognitive Computing
AI00074,autonomous systems engineer,134200,GBP,SE,PT,United Kingdom,S,United Kingdom,50,"Linux, R, Tableau",PhD,9,retail,2024-11-29,2025-01-09,2396,7.8,Machine Intelligence Group
AI00075,data engineer,51920,USD,EN,PT,Sweden,S,Finland,100,"Scala, R, Tableau, Data Visualization",PhD,0,consulting,2025-04-08,2025-05-13,1778,7.9,Digital Transformation Llc
AI00076,data engineer,56427,USD,EN,FL,Singapore,M,Singapore,100,"Mathematics, Kubernetes, Spark",Master,0,energy,2024-11-16,2025-01-25,1366,5.2,Deeptech Ventures
AI00077,ai product manager,213783,USD,EX,FT,Canada,S,Canada,100,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,energy,2024-09-19,2024-10-06,2383,9.2,Quantum Computing Inc
AI00078,ml ops engineer,59728,USD,MI,FL,Israel,M,Israel,50,"MLOps, SQL, Statistics",Associate,2,finance,2024-06-10,2024-08-13,1350,7.5,Datavision Ltd
AI00079,computer vision engineer,119432,USD,SE,CT,India,L,India,0,"Scala, MLOps, NLP",PhD,6,technology,2024-04-20,2024-06-08,1008,6.3,Autonomous Tech
AI00080,ai research scientist,284486,USD,EX,CT,United States,M,United States,0,"PyTorch, Linux, SQL",Master,12,consulting,2025-02-13,2025-03-10,2231,7.0,Techcorp Inc
AI00081,data analyst,157597,EUR,EX,CT,France,L,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,manufacturing,2024-08-31,2024-09-15,639,8.4,Neural Networks Co
AI00082,ml ops engineer,196942,USD,EX,CT,Australia,L,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,gaming,2024-04-01,2024-04-16,826,7.5,Techcorp Inc
AI00083,machine learning researcher,207548,USD,EX,CT,Canada,M,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,energy,2024-02-05,2024-03-11,2292,6.7,Cognitive Computing
AI00084,nlp engineer,68838,USD,MI,FL,Sweden,S,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,automotive,2024-06-20,2024-08-12,804,7.4,Techcorp Inc
AI00085,ml ops engineer,125666,USD,EX,FL,Finland,L,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,telecommunications,2024-06-19,2024-08-22,757,8.4,Techcorp Inc
AI00086,nlp engineer,73174,USD,EN,FT,Denmark,M,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,finance,2024-07-14,2024-09-08,678,6.4,Machine Intelligence Group
AI00087,autonomous systems engineer,33314,USD,EN,CT,Israel,S,India,50,"SQL, Kubernetes, Docker",Bachelor,0,manufacturing,2025-04-16,2025-06-15,1207,8.3,Future Systems
AI00088,ai specialist,69914,USD,EN,FT,United States,S,United States,100,"R, NLP, SQL, GCP",Associate,0,transportation,2025-02-15,2025-04-15,1517,7.0,Smart Analytics
AI00089,principal data scientist,152118,EUR,EX,FL,France,M,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,automotive,2024-05-20,2024-07-14,1294,6.9,Ai Innovations
AI00090,ai software engineer,78014,EUR,EN,CT,France,L,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,real estate,2024-11-19,2024-12-07,841,6.8,Digital Transformation Llc
AI00091,research scientist,48466,USD,EN,PT,Canada,S,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,automotive,2025-03-10,2025-05-14,1146,5.7,Predictive Systems
AI00092,data analyst,97997,EUR,SE,CT,France,S,France,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,technology,2024-06-19,2024-07-16,2419,6.0,Algorithmic Solutions
AI00093,principal data scientist,128341,USD,SE,FL,Singapore,S,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,finance,2025-04-26,2025-06-15,2457,6.9,Neural Networks Co
AI00094,ai research scientist,111528,USD,MI,FL,United States,L,United States,0,"Java, Hadoop, Mathematics",PhD,3,real estate,2024-03-01,2024-05-08,1299,9.5,Predictive Systems
AI00095,machine learning researcher,138945,USD,EX,PT,Canada,S,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,education,2024-07-10,2024-09-15,1559,8.9,Deeptech Ventures
AI00096,nlp engineer,98688,USD,SE,FT,Israel,M,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,manufacturing,2024-04-10,2024-05-03,598,8.6,Cognitive Computing
AI00097,data analyst,109029,EUR,SE,FT,France,S,France,0,"Kubernetes, Scala, Java",Bachelor,6,technology,2025-04-05,2025-06-13,2049,6.1,Predictive Systems
AI00098,nlp engineer,84797,USD,MI,FT,Canada,M,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,real estate,2024-12-04,2025-01-03,1909,6.2,Machine Intelligence Group
AI00099,machine learning researcher,290199,USD,EX,CT,Switzerland,L,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,retail,2025-01-12,2025-03-07,1137,5.6,Smart Analytics
AI00100,ai research scientist,195691,USD,SE,CT,United States,L,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,transportation,2024-04-20,2024-06-22,916,8.7,Advanced Robotics
AI00101,ai product manager,193448,USD,SE,FT,Norway,L,Norway,100,"Scala, Git, Java",Associate,9,consulting,2025-01-02,2025-03-11,579,6.6,Cognitive Computing
AI00102,ai product manager,138466,USD,EX,PT,Israel,L,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,government,2024-01-25,2024-04-04,1690,9.5,Smart Analytics
AI00103,data analyst,91577,EUR,MI,CT,Netherlands,M,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,transportation,2024-01-27,2024-02-28,859,6.5,Algorithmic Solutions
AI00104,computer vision engineer,92875,USD,MI,FT,Sweden,S,Sweden,0,"SQL, Python, Deep Learning",PhD,3,real estate,2024-07-21,2024-09-27,701,5.3,Digital Transformation Llc
AI00105,data engineer,213287,GBP,EX,FT,United Kingdom,S,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,healthcare,2025-03-03,2025-04-03,1102,6.3,Cloud Ai Solutions
AI00106,nlp engineer,62171,USD,MI,FT,Japan,S,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,consulting,2024-09-15,2024-11-07,2162,8.1,Ai Innovations
AI00107,ai research scientist,152658,USD,EX,FL,South Korea,L,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,automotive,2024-01-28,2024-03-17,548,9.0,Techcorp Inc
AI00108,ml ops engineer,95085,USD,MI,FT,Norway,M,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,retail,2024-03-20,2024-04-20,2298,6.5,Predictive Systems
AI00109,deep learning engineer,86750,EUR,MI,FL,France,S,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,government,2024-12-13,2025-02-24,1397,7.1,Ai Innovations
AI00110,ai specialist,64261,USD,MI,PT,Israel,M,Israel,0,"PyTorch, Docker, GCP",Master,2,transportation,2024-09-04,2024-10-10,2385,8.8,Techcorp Inc
AI00111,machine learning researcher,205357,USD,EX,PT,United States,S,United States,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,education,2024-03-08,2024-05-13,1646,6.6,Predictive Systems
AI00112,ai architect,165676,EUR,EX,CT,France,S,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,government,2024-05-13,2024-06-25,926,7.8,Neural Networks Co
AI00113,computer vision engineer,114658,EUR,SE,CT,France,M,France,100,"SQL, Scala, Python",Bachelor,9,telecommunications,2024-03-18,2024-04-20,1560,8.2,Algorithmic Solutions
AI00114,data scientist,143149,EUR,SE,FL,France,L,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,real estate,2024-03-13,2024-05-10,1169,9.1,Digital Transformation Llc
AI00115,machine learning researcher,116276,EUR,SE,FL,Germany,S,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,technology,2024-08-14,2024-09-06,608,7.9,Future Systems
AI00116,nlp engineer,61055,USD,EN,FL,United States,M,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,retail,2024-06-04,2024-07-16,1891,6.9,Autonomous Tech
AI00117,ml ops engineer,50303,USD,EN,FT,Austria,L,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,gaming,2024-08-11,2024-10-02,2015,7.0,Datavision Ltd
AI00118,data analyst,65570,USD,SE,FL,Ireland,S,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,retail,2024-10-22,2024-11-06,635,9.9,Smart Analytics
AI00119,ai software engineer,231078,USD,EX,FL,Singapore,M,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,consulting,2024-04-15,2024-06-03,784,7.6,Neural Networks Co
AI00120,ai product manager,106633,USD,SE,FT,Australia,M,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,automotive,2024-05-18,2024-06-25,1243,5.5,Algorithmic Solutions
AI00121,ai specialist,121180,USD,SE,FL,Austria,L,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,media,2025-01-06,2025-02-01,611,7.0,Quantum Computing Inc
AI00122,principal data scientist,64531,USD,EN,PT,China,L,Netherlands,50,"Git, SQL, Scala, Python, Computer Vision",PhD,0,retail,2025-03-26,2025-04-13,1645,7.0,Smart Analytics
AI00123,machine learning engineer,125654,USD,MI,CT,Singapore,L,Singapore,50,"Python, Tableau, Java",PhD,4,automotive,2024-06-20,2024-08-25,1212,6.8,Datavision Ltd
AI00124,machine learning researcher,182275,USD,EX,FT,Austria,L,Austria,0,"Docker, AWS, Linux, Git, Azure",PhD,14,technology,2025-04-19,2025-05-14,2427,9.0,Deeptech Ventures
AI00125,machine learning researcher,117708,USD,MI,FL,Denmark,L,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,transportation,2024-02-24,2024-03-17,1912,9.3,Neural Networks Co
AI00126,data engineer,143246,USD,EX,FT,South Korea,S,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,healthcare,2024-12-25,2025-01-24,1426,8.4,Future Systems
AI00127,ai product manager,203198,USD,SE,FT,Denmark,L,Denmark,50,"Statistics, R, Python, TensorFlow",Master,5,consulting,2024-12-04,2025-01-11,1596,7.6,Deeptech Ventures
AI00128,research scientist,69487,USD,EN,CT,Switzerland,S,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,transportation,2024-11-04,2024-12-02,1825,7.7,Machine Intelligence Group
AI00129,ai product manager,95673,USD,EX,FL,Ireland,S,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,technology,2024-08-24,2024-09-15,1467,8.1,Neural Networks Co
AI00130,ai software engineer,59405,USD,EN,FL,Austria,L,Austria,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,consulting,2025-03-18,2025-04-12,984,6.0,Smart Analytics
AI00131,ai specialist,131756,EUR,SE,PT,Netherlands,M,Finland,0,"AWS, R, Spark",PhD,5,technology,2024-08-03,2024-10-15,2308,7.9,Ai Innovations
AI00132,ai software engineer,42835,USD,EN,PT,South Korea,L,France,0,"Python, TensorFlow, PyTorch",Bachelor,0,media,2025-03-02,2025-03-30,539,9.0,Machine Intelligence Group
AI00133,autonomous systems engineer,61893,USD,EN,FT,Canada,M,Canada,50,"Statistics, Python, SQL",Associate,1,consulting,2024-03-28,2024-05-01,1419,5.2,Predictive Systems
AI00134,ml ops engineer,141791,EUR,EX,CT,France,M,France,0,"Hadoop, Azure, Python, R",PhD,13,media,2025-02-03,2025-02-23,2136,5.8,Algorithmic Solutions
AI00135,ai product manager,258637,GBP,EX,PT,United Kingdom,M,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",Master,11,education,2025-01-16,2025-02-15,813,9.1,Cognitive Computing
AI00136,nlp engineer,49485,USD,MI,FT,Finland,S,Finland,0,"Hadoop, Java, Data Visualization",Associate,2,technology,2024-08-09,2024-09-16,909,7.8,Cloud Ai Solutions
AI00137,robotics engineer,172916,USD,SE,PT,Norway,S,India,100,"Computer Vision, SQL, PyTorch, Java",Bachelor,8,manufacturing,2024-12-29,2025-01-15,1630,7.6,Smart Analytics
AI00138,machine learning engineer,324557,USD,EX,FT,Denmark,L,Denmark,100,"Hadoop, Python, Git, TensorFlow",PhD,11,telecommunications,2024-11-06,2024-11-24,1209,7.3,Machine Intelligence Group
AI00139,ai consultant,73894,EUR,MI,CT,France,M,France,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",Bachelor,4,consulting,2024-08-08,2024-09-12,1070,5.2,Digital Transformation Llc
AI00140,principal data scientist,122598,USD,SE,FT,Sweden,S,India,50,"Linux, AWS, Computer Vision, Deep Learning",Associate,9,media,2025-01-05,2025-02-13,1181,5.2,Digital Transformation Llc
AI00141,data scientist,94478,USD,MI,FL,Denmark,S,Denmark,100,"PyTorch, TensorFlow, Hadoop, Python",PhD,4,retail,2024-05-24,2024-06-25,506,8.4,Algorithmic Solutions
AI00142,autonomous systems engineer,53088,USD,EN,PT,Austria,M,Austria,50,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",PhD,1,finance,2025-04-12,2025-06-13,2090,9.0,Machine Intelligence Group
AI00143,machine learning researcher,116012,USD,MI,FT,Denmark,M,Australia,0,"SQL, MLOps, Python",Master,3,automotive,2024-09-23,2024-10-30,657,7.9,Predictive Systems
AI00144,deep learning engineer,35593,USD,EN,CT,China,S,China,0,"Python, Hadoop, Deep Learning",Bachelor,0,media,2024-03-09,2024-04-07,1812,6.3,Ai Innovations
